path,score,class,static_incoming,config_ref_count,evidence
func/evidence_rag/validator.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/index/bm25.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/index/chunk_ids.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/index/dense_vectors.npy,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/index/index_meta.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/logs/clinical_golden_report.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/logs/dose_engine_eval_v1.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/logs/interaction_engine_eval_v1.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/raw/chunks.jsonl,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/raw/doc-02faa6545c7beec4_pages.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/raw/doc-0858c0fb767916d9_pages.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag_data/raw/doc-0b489a5d2b5beee6_pages.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
